SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
48331,2,7,गंगा देवी कामी,महिला,51,नेकपा (माओवादी केन्द्र),अछाम,मेल्लेख गाउँपालिका,1,दलित महिला सदस्य,441,E,1
48332,1,7,सलिता कामी,महिला,32,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,1,दलित महिला सदस्य,434,,2
48333,0,7,विर्मा देवी वि.क.,महिला,69,नेपाली काँग्रेस,अछाम,मेल्लेख गाउँपालिका,1,दलित महिला सदस्य,24,,3
48334,1,7,बिपना कुमारी बि.क.,महिला,22,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,3,दलित महिला सदस्य,535,E,1
48335,2,7,सीता देवि चदारा,महिला,25,नेकपा (माओवादी केन्द्र),अछाम,मेल्लेख गाउँपालिका,3,दलित महिला सदस्य,471,,2
48336,1,7,कमल देवी ताम्राकार,महिला,36,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,4,दलित महिला सदस्य,638,E,1
48337,2,7,धौलि देबि लुहार,महिला,50,नेकपा (माओवादी केन्द्र),अछाम,मेल्लेख गाउँपालिका,4,दलित महिला सदस्य,449,,2
48338,0,7,जौला सार्कि,महिला,44,नेपाली काँग्रेस,अछाम,मेल्लेख गाउँपालिका,4,दलित महिला सदस्य,317,,3
48339,0,7,सरस्वती भुल,महिला,27,नेपाली काँग्रेस,अछाम,मेल्लेख गाउँपालिका,5,दलित महिला सदस्य,538,E,1
48340,2,7,पार्वती देवी नेपाली,महिला,29,नेकपा (माओवादी केन्द्र),अछाम,मेल्लेख गाउँपालिका,5,दलित महिला सदस्य,290,,3
48341,1,7,लक्ष्मी देवी लुहार,महिला,33,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,5,दलित महिला सदस्य,318,,2
48342,1,7,कल्धरा देवी लुहार,महिला,50,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,6,दलित महिला सदस्य,813,E,1
48343,2,7,ईशरा देवी लुहार,महिला,32,नेकपा (माओवादी केन्द्र),अछाम,मेल्लेख गाउँपालिका,6,दलित महिला सदस्य,519,,2
48344,1,7,जमुना देवी दमाई,महिला,35,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,7,दलित महिला सदस्य,797,E,1
48345,0,7,धर्मी नेपाली,महिला,28,नेपाली काँग्रेस,अछाम,मेल्लेख गाउँपालिका,7,दलित महिला सदस्य,621,,2
48346,0,7,कौसिल्ला लुहार,महिला,36,नेपाली काँग्रेस,अछाम,मेल्लेख गाउँपालिका,8,दलित महिला सदस्य,333,E,1
48347,1,7,निरमला मिजार,महिला,30,नेकपा (एमाले),अछाम,मेल्लेख गाउँपालिका,8,दलित महिला सदस्य,205,,2
